X,Y,band1,band2,band3,band4,band5,band6,band7
1,1039,57,49,40,102,75,129,41
1,1040,60,48,41,91,65,129,37
1,1041,62,47,39,84,62,125,34
1,1042,55,45,37,91,58,125,32
1,1043,55,42,35,86,48,124,28
1,1044,60,46,42,87,53,124,31
1,1045,61,46,42,92,60,124,32
1,1046,56,47,41,96,63,124,35
1,1047,57,43,37,92,51,123,31
1,1048,54,37,35,87,40,123,22
1,1049,57,42,41,50,31,119,20
1,1050,60,44,39,18,24,119,20
1,1051,56,39,34,59,37,116,23
1,1052,55,39,33,60,37,116,22
1,1053,53,36,27,50,30,116,17
1,1054,54,36,29,54,32,116,19
1,1055,52,39,34,67,47,118,26
1,1056,57,42,35,64,46,118,24
1,1057,54,39,31,39,25,118,16
1,1058,56,40,31,40,30,118,18
1,1059,57,42,30,29,22,117,15
1,1060,55,39,25,16,12,117,11
1,1061,54,34,24,20,15,115,13
1,1062,52,33,25,30,21,115,14
1,1063,53,34,26,33,23,116,14
1,1064,52,33,23,26,18,116,14
1,1065,51,30,19,33,14,116,13
1,1066,52,31,25,28,15,116,13
1,1067,53,37,30,52,30,121,16
1,1068,60,44,39,64,46,121,29
1,1069,56,42,35,33,30,125,24
1,1070,54,35,24,11,7,125,9
1,1071,55,34,21,15,11,119,10
1,1072,57,36,25,15,11,119,11
1,1073,57,36,22,15,11,116,8
1,1074,56,36,23,15,11,116,10
1,1075,57,36,25,14,11,117,8
1,1076,59,37,23,15,12,117,10
1,1077,57,37,23,14,10,117,9
1,1078,60,40,23,15,11,117,10
1,1079,57,37,23,14,9,116,9
1,1080,59,39,22,14,10,116,9
1,1081,57,40,25,15,10,115,10
1,1082,59,38,24,14,9,115,9
1,1083,59,38,23,13,11,115,8
1,1084,58,38,23,14,10,115,11
1,1085,60,37,22,14,10,116,10
1,1086,61,38,25,14,12,116,10
1,1087,59,38,25,14,9,117,12
1,1088,58,37,22,13,11,117,10
1,1089,60,38,23,14,11,117,8
1,1090,60,37,24,13,10,117,11
1,1091,58,37,25,15,10,116,11
1,1092,59,38,26,15,10,116,9
1,1093,58,37,24,14,11,116,10
1,1094,59,37,22,14,11,116,11
1,1095,57,37,24,15,10,116,9
1,1096,59,37,25,14,10,116,10
1,1097,60,37,25,13,9,115,10
1,1098,58,36,24,14,9,115,9
1,1099,55,36,24,14,10,116,8
1,1100,59,37,22,14,11,116,13
1,1101,59,36,24,14,9,117,8
1,1102,56,37,22,13,10,117,10
1,1103,57,37,25,14,11,116,9
1,1104,57,36,22,14,11,116,8
1,1105,59,36,23,14,10,117,11
1,1106,57,37,23,14,10,117,10
1,1107,59,37,21,14,9,115,10
1,1108,58,36,23,13,10,115,10
1,1109,56,37,23,13,10,116,8
1,1110,58,37,23,13,10,116,11
1,1111,58,36,24,13,10,116,11
1,1112,58,36,24,13,9,116,9
1,1113,58,37,23,14,10,116,11
